mmsiNo,imoNo,vsslNm,callLetter,vsslTp,vsslTpCd,vsslTpCrgo,vsslCls,vsslLen,vsslWidth,flag,flagCd,vsslDefBrd,lon,lat,sog,cog,rot,headSide,vsslNavi,vsslNaviCd,source,dt_pos_utc,dt_static_utc,vsslTpMain,vsslTpSub,dstNm,dstCd,eta
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66566667,31.99281667,0.0,164.1,0.0,88.0,MOORED,5,V-AIS,20221101191752,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66566667,31.99281667,0.0,164.1,0.0,89.0,MOORED,5,V-AIS,20221101193301,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66566667,31.99281667,0.0,140.7,0.0,90.0,MOORED,5,V-AIS,20221101221451,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66566667,31.99281667,0.0,96.7,0.0,89.0,MOORED,5,V-AIS,20221101224056,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66566667,31.99281667,0.0,96.7,0.0,91.0,MOORED,5,V-AIS,20221101231111,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.9,120.66566667,31.99283333,0.0,245.5,0.0,90.0,UNDER_WAY_USING_ENGINE,0,V-AIS,20221102005255,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,110.0,0.0,91.0,MOORED,5,V-AIS,20221101151135,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,110.0,0.0,90.0,MOORED,5,V-AIS,20221101153159,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,110.0,0.0,89.0,MOORED,5,V-AIS,20221101161249,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,164.1,0.0,89.0,MOORED,5,V-AIS,20221101180947,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,164.1,0.0,89.0,MOORED,5,V-AIS,20221101183037,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,164.1,0.0,89.0,MOORED,5,V-AIS,20221101183612,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,164.1,0.0,90.0,MOORED,5,V-AIS,20221101195921,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
312773000,8356869,HAO XIANG 11,V3JW,GENERAL_CARGO,70,,A,155.0,22.0,Belize,312,8.8,120.66568333,31.99281667,0.0,236.7,0.0,88.0,MOORED,5,V-AIS,20221101233135,20221101115520,GENERAL_CARGO,,KR BUSAN,KRPUS,2022110416000000
